family,subfamily,tribe,tips,broad_sociality,parasite_host_sociality,fine_sociality,sociality_notes,sociality_ref,broad_nesting,parasite_host_nesting,fine_nesting,nesting_notes,nesting_ref,nest_accuracy,host_bee,host_ref,wax,resin,floral_oil,nestmat_accuracy,nest_materials_ref
Andrenidae,,Andreninini,Andrena_luscinia,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_proxima,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_ampla,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_alutacea,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_dividicincta,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_exigua,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_spreta,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_semilaevis,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_pusilla,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_fabrella,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_longibarbis,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_mariana,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_pandosa,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
Andrenidae,,Andreninini,Andrena_oedicnema,solitary,,some communal,,Michener 1969,ground,,soil,,Michener 1969,family,,,no,no,no,,
