"family","subfamily","species"
"Apidae","Apinae","Eucera hurdi"
"Apidae","Xylocopinae","Xylocopa brasilianorum"
"Apidae","Nomadinae","Triepeolus californicus"
"Apidae","Nomadinae","Nomada dreisbachorum"
"Apidae","Apinae","Deltoptila badia"
"Apidae","Nomadinae","Townsendiella rufiventris"
"Apidae","Apinae","Habropoda salviarum"
"Apidae","Apinae","Melissodes hurdi"
"Apidae","Nomadinae","Nomada edwardsii"
"Apidae","Nomadinae","Triepeolus martini"
"Apidae","Apinae","Trigonisca hirsuticornis"
"Apidae","Apinae","Eucera virgata"
"Apidae","Nomadinae","Nomada pallidelutea"
"Apidae","Apinae","Peponapis michelbacherorum"
"Apidae","Nomadinae","Nomada crotchii"
"Apidae","Apinae","Syntrichalonia exquisita"
"Apidae","Apinae","Eucera lunata"
"Apidae","Nomadinae","Nomada hesperia"
"Apidae","Apinae","Eufriesea simillima"
"Apidae","Xylocopinae","Braunsapis madecassa"
"Apidae","Xylocopinae","Ceratina tejonensis"
"Apidae","Apinae","Anthophora rogenhoferi"
"Apidae","Apinae","Exomalopsis hurdi"
"Apidae","Apinae","Anthophora signata"
"Apidae","Apinae","Deltoptila elefas"
"Apidae","Apinae","Plebeia manantlensis"
"Apidae","Nomadinae","Nomada mckenziei"
"Apidae","Apinae","Eucera tricinctella"
"Apidae","Apinae","Partamona zonata"
"Apidae","Apinae","Exomalopsis dimidiata"
"Apidae","Apinae","Anthophorula deserticola"
"Apidae","Nomadinae","Nomada portalensis"
"Apidae","Apinae","Melissodes bidentis"
"Apidae","Nomadinae","Triepeolus cameroni"
"Apidae","Nomadinae","Nomada formula"
"Apidae","Nomadinae","Neolarra linsleyi"
"Apidae","Nomadinae","Neolarra cockerelli"
"Apidae","Apinae","Svastra comanche"
"Apidae","Apinae","Syntrichalonia fuliginea"
"Apidae","Nomadinae","Nomada belfragei"
"Apidae","Apinae","Anthophorula rufiventris"
"Apidae","Apinae","Thygater montezuma"
"Apidae","Apinae","Centris xochipillii"
"Apidae","Apinae","Svastra grandissima"
"Apidae","Apinae","Svastra sila"
"Apidae","Apinae","Anthophora excisa"
"Apidae","Apinae","Eucera mohavensis"
"Apidae","Nomadinae","Triepeolus ancoratus"
"Apidae","Xylocopinae","Xylocopa punctilabris"
"Apidae","Nomadinae","Triepeolus laticeps"
"Apidae","Nomadinae","Townsendiella californica"
"Apidae","Xylocopinae","Ceratina waini"
"Apidae","Xylocopinae","Xylocopa cyanea"
"Apidae","Nomadinae","Nomada utahensis"
"Apidae","Apinae","Exomalopsis boharti"
"Apidae","Apinae","Lestrimelitta chamelensis"
"Apidae","Apinae","Thyreus himalayensis"
"Apidae","Apinae","Plebeia melanica"
"Apidae","Apinae","Melissodes ochraea"
"Apidae","Apinae","Eucera cordleyi"
"Apidae","Nomadinae","Triepeolus cressonii"
"Apidae","Apinae","Centris griseola"
"Apidae","Apinae","Amegilla kaimosica"
"Apidae","Nomadinae","Triepeolus rhododontus"
"Apidae","Nomadinae","Nomada erythraea"
"Apidae","Nomadinae","Triepeolus michiganensis"
"Apidae","Nomadinae","Triepeolus nayaritensis"
"Apidae","Apinae","Anthophora lieftincki"
"Apidae","Apinae","Bombus pyrenaeus_homonym"
"Apidae","Apinae","Centris flavofasciata"
"Apidae","Nomadinae","Holcopasites jerryrozeni"
"Apidae","Apinae","Anthophora deserticola"
"Apidae","Apinae","Eucera fulvohirta"
"Apidae","Apinae","Amegilla flammeozonata"
"Apidae","Xylocopinae","Xylocopa sinensis"
"Apidae","Apinae","Melecta edwardsii"
"Apidae","Apinae","Anthophora lanzarotensis"
"Apidae","Nomadinae","Nomada cristata"
"Apidae","Nomadinae","Nomada aquilarum"
"Apidae","Apinae","Melecta diligens"
"Apidae","Nomadinae","Triepeolus dilutus"
"Apidae","Xylocopinae","Xylocopa perforator"
"Apidae","Xylocopinae","Xylocopa ghilianii"
"Apidae","Apinae","Centris labiata"
"Apidae","Apinae","Brachymelecta haitensis"
"Apidae","Apinae","Eucera armeniaca"
"Megachilidae","Megachilinae","Megachile chomskyi"
"Andrenidae","Panurginae","Perdita rhois"
"Megachilidae","Megachilinae","Anthidiellum perplexum"
"Andrenidae","Andreninae","Andrena fuscicauda"
"Megachilidae","Megachilinae","Dianthidium floridiense"
"Megachilidae","Megachilinae","Coelioxys slossoni"
"Halictidae","Nomiinae","Nomia nortoni"
"Megachilidae","Megachilinae","Stelis louisae"
"Halictidae","Halictinae","Halictus confusus"
"Andrenidae","Panurginae","Protandrena aethiops"
"Megachilidae","Megachilinae","Megachile bahamensis"
"Megachilidae","Megachilinae","Coelioxys dolichos"
"Andrenidae","Panurginae","Perdita interrupta"
"Andrenidae","Andreninae","Andrena auricoma"
"Apidae","Nomadinae","Triepeolus custeri"
"Apidae","Nomadinae","Triepeolus argyreus"
"Apidae","Nomadinae","Nomada tormentillae"
"Apidae","Nomadinae","Triepeolus denverensis"
"Apidae","Nomadinae","Triepeolus grindeliae"
"Apidae","Nomadinae","Nomada dreisbachi"
"Apidae","Nomadinae","Nomada graenicheri"
"Apidae","Xylocopinae","Xylocopa olivacea"
"Apidae","Apinae","Exomalopsis otomita"
"Apidae","Apinae","Centris adani"
"Apidae","Apinae","Exomalopsis tepaneca"
"Apidae","Apinae","Euglossa obrima"
"Apidae","Apinae","Melitoma nudicauda"
"Apidae","Apinae","Peponapis apiculata"
"Apidae","Apinae","Osiris marginatus"
"Apidae","Apinae","Peponapis smithi"
"Apidae","Apinae","Paratetrapedia lugubris"
"Apidae","Apinae","Exomalopsis limata"
"Apidae","Nomadinae","Brachynomada grindeliae"
"Apidae","Nomadinae","Triepeolus eliseae"
"Apidae","Nomadinae","Nomada rubicunda"
"Apidae","Apinae","Tetragonula malaipanae"
"Apidae","Apinae","Anthophora auone"
"Apidae","Apinae","Tetraloniella lanzarotensis"
"Apidae","Apinae","Eucera dorsata"
"Apidae","Apinae","Centris errans"
"Apidae","Apinae","Thyreus truncatus"
"Apidae","Apinae","Amegilla godofredi"
"Apidae","Apinae","Centris californica"
"Apidae","Nomadinae","Nomada seneciophila"
"Apidae","Apinae","Anthophorula chionura"
"Apidae","Xylocopinae","Ceratina hurdi"
"Apidae","Nomadinae","Nomada azaleae"
"Apidae","Nomadinae","Nomada sobrina"
"Apidae","Nomadinae","Nomada florilega"
"Apidae","Nomadinae","Nomada rodecki"
"Apidae","Nomadinae","Nomada crawfordi"
"Apidae","Nomadinae","Triepeolus sarothrinus"
"Apidae","Nomadinae","Nomada subaccepta"
"Apidae","Xylocopinae","Ceratina ballotae"
"Apidae","Apinae","Scaura cearensis"
"Apidae","Apinae","Eufriesea bare"
"Apidae","Apinae","Trigonisca mendersoni"
"Apidae","Apinae","Trigonisca manauara"
"Apidae","Apinae","Scaura amazonica"
"Apidae","Apinae","Trigonisca rondoni"
"Apidae","Apinae","Nogueirapis minor"
"Apidae","Apinae","Trigonisca moratoi"
"Apidae","Apinae","Paratetrapedia flavolineata"
"Apidae","Apinae","Paratetrapedia carinata"
"Apidae","Apinae","Scaura aspera"
"Apidae","Xylocopinae","Xylocopa loripes"
"Apidae","Nomadinae","Nomada vincta"
"Apidae","Xylocopinae","Ceratina micheneri"
"Apidae","Xylocopinae","Ceratina sequoiae"
"Apidae","Xylocopinae","Ceratina neomexicana"
"Apidae","Apinae","Monoeca xanthopyga"
"Apidae","Apinae","Diadasina paraensis"
"Apidae","Apinae","Centris vulpecula"
"Apidae","Apinae","Melissoptila vulpecula"
"Apidae","Apinae","Amegilla batleyi"
"Apidae","Apinae","Amegilla crenata"
"Apidae","Apinae","Amegilla epaphrodita"
"Apidae","Apinae","Amegilla flava"
"Apidae","Apinae","Amegilla houstoni"
"Apidae","Apinae","Amegilla nitidiventris"
"Apidae","Apinae","Amegilla preissi"
"Apidae","Apinae","Amegilla scoparia"
"Apidae","Apinae","Amegilla xylocopoides"
"Colletidae","Hylaeinae","Amphylaeus nubilosellus"
"Apidae","Apinae","Austroplebeia cincta"
"Apidae","Apinae","Austroplebeia essingtoni"
"Colletidae","Euryglossinae","Brachyhesma scapata"
"Colletidae","Euryglossinae","Brachyhesma angularis"
"Colletidae","Euryglossinae","Brachyhesma antennata"
"Colletidae","Euryglossinae","Brachyhesma apicalis"
"Colletidae","Euryglossinae","Brachyhesma aurata"
"Colletidae","Euryglossinae","Brachyhesma barrowensis"
"Colletidae","Euryglossinae","Brachyhesma carnarvonensis"
"Colletidae","Euryglossinae","Brachyhesma dedari"
"Colletidae","Euryglossinae","Brachyhesma femoralis"
"Colletidae","Euryglossinae","Brachyhesma grossopedalis"
"Colletidae","Euryglossinae","Brachyhesma houstoni"
"Colletidae","Euryglossinae","Brachyhesma isae"
"Colletidae","Euryglossinae","Brachyhesma matarankae"
"Colletidae","Euryglossinae","Brachyhesma monteithae"
"Colletidae","Euryglossinae","Brachyhesma morvenensis"
"Colletidae","Euryglossinae","Brachyhesma nigricornis"
"Colletidae","Euryglossinae","Brachyhesma perlutea"
"Colletidae","Euryglossinae","Brachyhesma renneri"
"Colletidae","Euryglossinae","Brachyhesma sulphurella"
"Colletidae","Euryglossinae","Brachyhesma triangularis"
"Colletidae","Euryglossinae","Brachyhesma wyndhami"
"Colletidae","Euryglossinae","Brachyhesma deserticola"
"Colletidae","Euryglossinae","Brachyhesma bitrichopedalis"
"Colletidae","Euryglossinae","Brachyhesma cavagnari"
"Colletidae","Euryglossinae","Brachyhesma cooki"
"Colletidae","Euryglossinae","Brachyhesma healesvillensis"
"Colletidae","Euryglossinae","Brachyhesma incompleta"
"Colletidae","Euryglossinae","Brachyhesma josephinae"
"Colletidae","Euryglossinae","Brachyhesma katherinensis"
"Colletidae","Euryglossinae","Brachyhesma minya"
"Colletidae","Euryglossinae","Brachyhesma nabarleki"
"Colletidae","Euryglossinae","Brachyhesma newmanensis"
"Colletidae","Euryglossinae","Brachyhesma paucivenata"
"Colletidae","Euryglossinae","Brachyhesma rossi"
"Colletidae","Euryglossinae","Brachyhesma storeyi"
"Colletidae","Euryglossinae","Brachyhesma trichopterota"
"Colletidae","Euryglossinae","Brachyhesma ventralis"
"Apidae","Xylocopinae","Braunsapis anthracina"
"Apidae","Xylocopinae","Braunsapis associata"
"Apidae","Xylocopinae","Braunsapis diminuta"
"Apidae","Xylocopinae","Braunsapis diminutoides"
"Apidae","Xylocopinae","Braunsapis dolichocephala"
"Apidae","Xylocopinae","Braunsapis nitida"
"Apidae","Xylocopinae","Braunsapis platyura"
"Apidae","Xylocopinae","Braunsapis praesumptiosa"
